status	key	command
Conversion	Backspace	Cancel
Composition	Backspace	Backspace
Precomposition	Backspace	Revert
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Composition	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl [	Cancel
Composition	Ctrl [	Cancel
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Suggestion	Ctrl Down	PredictAndConvert
Prediction	Ctrl Down	ConvertNext
Suggestion	Ctrl Enter	CommitFirstSuggestion
Precomposition	Ctrl F12	LaunchConfigDialog
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Composition	Ctrl g	Delete
Conversion	Ctrl h	Cancel
Composition	Ctrl h	Backspace
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl m	Commit
Composition	Ctrl m	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl n	Commit
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl Shift Right	SegmentWidthExpand
Conversion	Ctrl Space	ConvertNext
Composition	Ctrl Space	Convert
Conversion	Ctrl u	ConvertToHiragana
Composition	Ctrl u	ConvertToHiragana
Prediction	Ctrl Up	ConvertPrev
Composition	Delete	Delete
Conversion	Down	CommitOnlyFirstSegment
Composition	Down	Commit
Suggestion	Down	PredictAndConvert
Prediction	Down	ConvertNext
Conversion	Eisu	ToggleAlphanumericMode
Composition	Eisu	ToggleAlphanumericMode
Conversion	Enter	Commit
Composition	Enter	Commit
Conversion	ESC	Cancel
Composition	ESC	Cancel
Conversion	F10	ConvertToHalfAlphanumeric
Composition	F10	ConvertToHalfAlphanumeric
Precomposition	F10	ToggleAlphanumericMode
Composition	F2	ConvertWithoutHistory
Conversion	F6	ConvertToHiragana
Composition	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Composition	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Composition	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Composition	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	CancelAndIMEOff
Composition	Hankaku/Zenkaku	CancelAndIMEOff
Precomposition	Hankaku/Zenkaku	CancelAndIMEOff
DirectInput	Hankaku/Zenkaku	IMEOn
Conversion	Henkan	ConvertNextPage
Composition	Henkan	Convert
Precomposition	Henkan	CancelAndIMEOff
DirectInput	Henkan	IMEOn
Conversion	Hiragana	ToggleAlphanumericMode
Composition	Hiragana	ToggleAlphanumericMode
Conversion	Insert	Cancel
Composition	Kana	ToggleAlphanumericMode
Precomposition	Kana	ToggleAlphanumericMode
Conversion	Left	SegmentWidthShrink
Composition	Left	MoveCursorLeft
Conversion	Muhenkan	SwitchKanaType
Composition	Muhenkan	SwitchKanaType
Precomposition	Muhenkan	CancelAndIMEOff
DirectInput	Muhenkan	IMEOn
Conversion	Right	SegmentWidthExpand
Composition	Right	MoveCursorRight
Suggestion	Shift Enter	CommitFirstSuggestion
Conversion	Shift Henkan	ConvertPrevPage
Composition	Shift Henkan	Convert
Precomposition	Shift Henkan	Reconvert
DirectInput	Shift Henkan	Reconvert
Conversion	Shift Left	SegmentFocusLeft
Composition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Conversion	Shift Right	SegmentFocusRight
Conversion	Shift Space	ConvertNext
Composition	Shift Space	Convert
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Tab	ConvertPrev
Conversion	Space	ConvertNext
Composition	Space	Convert
Precomposition	Space	InsertSpace
Conversion	Tab	PredictAndConvert
Composition	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Prediction	Up	ConvertPrev
Composition	Kanji	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	Kanji	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
